"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 03 11:37:25 COT 2023","Fri Feb 03 11:37:26 COT 2023","595","","Login Page - Challenge 04","","Login Page - Challenge 04","Login with valid credentials | auto-generated","Login with valid credentials | auto-generated",""
"failed","Fri Feb 03 11:33:27 COT 2023","Fri Feb 03 11:33:38 COT 2023","11001","","Login Page - Challenge 04","","Login Page - Challenge 04","Password fields not visible","Password fields not visible",""
"passed","Fri Feb 03 11:37:21 COT 2023","Fri Feb 03 11:37:25 COT 2023","3589","","Login Page - Challenge 04","","Login Page - Challenge 04","Validate element's type attribute","Validate element's type attribute",""
"passed","Fri Feb 03 11:37:14 COT 2023","Fri Feb 03 11:37:14 COT 2023","1","","Ecommerce App","","Ecommerce App","Radio buttons/Check Box","Radio buttons/Check Box",""
"passed","Fri Feb 03 11:37:01 COT 2023","Fri Feb 03 11:37:02 COT 2023","788","","Login Page - Challenge 04","","Login Page - Challenge 04","Login with valid credentials and Welcome Text","Login with valid credentials and Welcome Text",""
"passed","Fri Feb 03 11:37:00 COT 2023","Fri Feb 03 11:37:57 COT 2023","56569","","Ecommerce Application E2E POO","","Ecommerce Application E2E POO","Failed Login credentials","Failed Login credentials",""
"failed","Fri Feb 03 11:33:17 COT 2023","Fri Feb 03 11:33:27 COT 2023","10923","","Login Page - Challenge 04","","Login Page - Challenge 04","Username field - not visible","Username field - not visible",""
"passed","Fri Feb 03 09:14:19 COT 2023","Fri Feb 03 09:14:52 COT 2023","32294","","Ecommerce Application E2E","","Ecommerce Application E2E","E2E Checkou Test with different Mobile Selections","E2E Checkou Test with different Mobile Selections",""
"passed","Fri Feb 03 11:37:57 COT 2023","Fri Feb 03 11:38:24 COT 2023","27430","","Ecommerce Application E2E POO","","Ecommerce Application E2E POO","E2E Checkout Test with different Mobile Selections","E2E Checkout Test with different Mobile Selections",""
"passed","Fri Feb 03 11:37:06 COT 2023","Fri Feb 03 11:37:10 COT 2023","4069","","Login Page - Challenge 04","","Login Page - Challenge 04","Login with invalid password","Login with invalid password",""
"passed","Fri Feb 03 11:37:10 COT 2023","Fri Feb 03 11:37:14 COT 2023","3895","","Login Page - Challenge 04","","Login Page - Challenge 04","Login with empty credentials","Login with empty credentials",""
"passed","Fri Feb 03 11:37:04 COT 2023","Fri Feb 03 11:37:14 COT 2023","9581","","Ecommerce App","","Ecommerce App","Login Successfull page","Login Successfull page",""
"passed","Fri Feb 03 11:37:00 COT 2023","Fri Feb 03 11:37:15 COT 2023","14249","","Ecommerce Application E2E","","Ecommerce Application E2E","E2E Checkout Test","E2E Checkout Test",""
"passed","Fri Feb 03 09:13:22 COT 2023","Fri Feb 03 09:14:19 COT 2023","57909","","Ecommerce Application E2E","","Ecommerce Application E2E","Failed Login credentials","Failed Login credentials",""
"passed","Fri Feb 03 11:37:14 COT 2023","Fri Feb 03 11:37:21 COT 2023","7404","","Login Page - Challenge 04","","Login Page - Challenge 04","Login and Logout with texts | E2E","Login and Logout with texts | E2E",""
"passed","Fri Feb 03 11:37:22 COT 2023","Fri Feb 03 11:37:31 COT 2023","8841","","window and Frames Miscellanous","","window and Frames Miscellanous","switch between Frames","switch between Frames",""
"passed","Fri Feb 03 11:37:02 COT 2023","Fri Feb 03 11:37:06 COT 2023","3776","","Login Page - Challenge 04","","Login Page - Challenge 04","Login with empty username","Login with empty username",""
"passed","Fri Feb 03 11:37:00 COT 2023","Fri Feb 03 11:37:01 COT 2023","1033","","Login Page - Challenge 04","","Login Page - Challenge 04","Navigate to sampleapp page","Navigate to sampleapp page",""
"passed","Fri Feb 03 11:37:07 COT 2023","Fri Feb 03 11:37:11 COT 2023","4559","","Ecommerce App","","Ecommerce App","Login Fail page","Login Fail page",""
"passed","Fri Feb 03 11:37:25 COT 2023","Fri Feb 03 11:37:25 COT 2023","557","","Login Page - Challenge 04","","Login Page - Challenge 04","Login with invalid credentials | auto-generated","Login with invalid credentials | auto-generated",""
"passed","Fri Feb 03 09:18:34 COT 2023","Fri Feb 03 09:19:06 COT 2023","31747","","Ecommerce Application E2E POO","","Ecommerce Application E2E POO","E2E Checkou Test with different Mobile Selections","E2E Checkou Test with different Mobile Selections",""
